ID Chamado,TÍTULO,DATA E HORA ABERTURA,STATUS,,,,CAMPUS,,,,,CATEGORIA COMPLETA,,,,Valor do chamado,,,,Latitude x Longitude Geral,,DESCRIÇÃO GLPI,TÍTULO O.S.M.,DESCRIÇÃO O.S.M.,Classificação IA,,Avaliação (%),Executor,Criticidade Atribuída por IA
1962,A luz da sala está com mau contato.,2015-10-05 08:46,Fechado,,,,Reitoria,,,,,Elétrica > Iluminação,,,,0,,,,"-14.788316740297745, -39.27483123836992",,A luz da sala está com mau contato.,,,Elétrica > Iluminação,,0.98,Reclass_LSTM,Baixa
1963,Condicionador de ar não liga.,2015-10-05 09:18,Fechado,,,,Reitoria,,,,,Climatização > Ar condicionado split,,,,0,,,,"-14.788316740297745, -39.27483123836992",,Condicionador de ar não liga.,,,Climatização > Ar condicionado,,1,Reclass_LSTM,Baixa
2000,Troca de reatores,2015-10-07 16:16,Fechado,,,,Reitoria,,,,,Elétrica > Iluminação,,,,0,,,,"-14.788316740297745, -39.27483123836992",,Troca de reatores,,,Elétrica > Iluminação,,0.91,Reclass_LSTM,Baixa
2001,Troca de reator,2015-10-07 16:16,Fechado,,,,Reitoria,,,,,Elétrica > Iluminação,,,,0,,,,"-14.788316740297745, -39.27483123836992",,Troca de reator,,,Elétrica > Iluminação,,0.94,Reclass_LSTM,Baixa
2013,AVISO: Esse tipo de chamado somente poderá ser aberto pelo coordenador,2015-10-08 11:47,Fechado,,,,Campus Paulo Freire,,,,,Outros > Erro de chamado,,,,0,,,,"-17.53335341230621, -39.72217542816204",,"AVISO: Esse tipo de chamado somente poderá ser aberto pelo coordenador do campus. Caso não seja, este chamado será excluído dentro de 7 dias.",,,Elétrica > Iluminação,,0.84,Reclass_LSTM,Baixa
2019050186,Identificar problemas em Ar Condicionados da Coleção Micológica do CEPEC,2019-05-08 23:14,Fechado,,,,Campus Jorge Amado,,,,,Climatização > Ar condicionado split,,,,0,,,,#N/A,,"Verificar e identificar problemas nos 4 aparelhos de ar condicionado da Coleção Micológica do CEPEC, que terá curadoria associada do Prof. Alexandre, em virtude de risco de perda dos produtos lá conservados. Realizar algum reparo que não implique em compra de peças ou equipamentos.",,,Climatização > Ar condicionado,,0.99,Reclass_LSTM,Média
2049,Bom dia. Solicito instalação de eletroduto na sala dos servidores para,2015-10-15 10:45,Fechado,,,,Reitoria,,,,,TI / Dados / Rede > Ponto de rede / fibra ótica / Wi-fi,,,,0,,,,"-14.788316740297745, -39.27483123836992",,"Bom dia.
Solicito instalação de eletroduto na sala dos servidores para organização de cabeamento de rede, conforme conversa pessoalmente. O eletroduto será instalado em apenas uma parede em trecho a partir da calha em direção ao chão.
Obrigado.",,,Elétrica > Instalações elétricas,,0.92,Reclass_LSTM,Baixa
2050,Bom dia. Solicito a instalação de duas lâmpadas de emergência na sala,2015-10-15 10:53,Fechado,,,,Reitoria,,,,,Elétrica > Iluminação,,,,0,,,,"-14.788316740297745, -39.27483123836992",,"Bom dia.
Solicito a instalação de duas lâmpadas de emergência na sala dos servidores para que seja possível manusear equipamentos e materiais em casos de falta de energia.
Obrigado.",,,Elétrica > Iluminação,,0.99,Reclass_LSTM,Baixa
2091,,2015-10-22 14:22,Fechado,,,,Reitoria,,,,,"Estrutura Predial > Esquadrias, porta, portão e janelas",,,,0,,,,"-14.788316740297745, -39.27483123836992",,"Boa tarde, gostaria de uma manutenção URGENTE da porta de entrada do setor da PROTIC",,,"Estrutura Predial > Esquadrias, porta, portão e janelas",,0.93,Reclass_LSTM,Alta
2133,Queda de energia,2015-10-28 14:12,Fechado,,,,Campus Jorge Amado,,,,,Elétrica > Instalações elétricas,,,,0,,,,"-14.784588690412658, -39.04431728226902",,"AVISO: Esse tipo de chamado somente poderá ser aberto pelo coordenador do campus. Caso não seja, este chamado será excluído dentro de 7 dias.
Queda de energia a noite, segunda e terça durante mais ou menos 10min.",,,Elétrica > Iluminação,,0.87,Reclass_LSTM,Alta
2173,A fechadura da porta principal da PROTIC está apresentando problema. A,2015-11-04 14:31,Fechado,,,,Reitoria,,,,,"Estrutura Predial > Esquadrias, porta, portão e janelas",,,,0,,,,"-14.788316740297745, -39.27483123836992",,A fechadura da porta principal da PROTIC está apresentando problema. A porta não está ficando fechada.,,,"Estrutura Predial > Esquadrias, porta, portão e janelas",,1,Reclass_LSTM,Baixa
2205,INSTALAR/RELOCAR PONTO DE ELÉTRICA E LÓGICA - MUDANÇA DE LAYOUT MESA A,2015-11-06 11:25,Fechado,,,,Reitoria,,,,,Elétrica > Instalações elétricas,,,,0,,,,"-14.788316740297745, -39.27483123836992",,INSTALAR/RELOCAR PONTO DE ELÉTRICA E LÓGICA - MUDANÇA DE LAYOUT MESA ASSESSOR,,,Elétrica > Instalações elétricas,,0.97,Reclass_LSTM,Baixa
2223,"O ar condicionado aqui da antiga sala da procuradoria, está fazendo um",2015-11-10 14:39,Fechado,,,,Campus Jorge Amado,,,,,Climatização > Ar condicionado split,,,,0,,,,"-14.788316740297745, -39.27483123836992",,"O ar condicionado aqui da antiga sala da procuradoria, está fazendo um barulho imenso que está incomodando as pessoas que trabalham na sala, além disso ele fica desligando sozinho. Por favor tomar uma providência. Obrigada.",,,Climatização > Ar condicionado,,1,Reclass_LSTM,Baixa
2256,Luminária com defeito,2015-11-12 10:47,Fechado,,,,Reitoria,,,,,Elétrica > Iluminação,,,,0,,,,"-14.788316740297745, -39.27483123836992",,Consertar a luminária do banheiro ao lado das salas de aula,,,Elétrica > Iluminação,,1,Reclass_LSTM,Média
2310,Reator em uma das luminárias na sala antiga da coordenação do campus e,2015-11-20 08:52,Fechado,,,,Reitoria,,,,,Elétrica > Iluminação,,,,0,,,,"-14.788316740297745, -39.27483123836992",,Reator em uma das luminárias na sala antiga da coordenação do campus explodiu.,,,Elétrica > Iluminação,,1,Reclass_LSTM,Baixa
2321,Reator da PROGEAC explodiu.,2015-11-23 09:19,Fechado,,,,Campus Jorge Amado,,,,,Elétrica > Iluminação,,,,0,,,,"-14.788316740297745, -39.27483123836992",,Reator da PROGEAC explodiu.,,,Elétrica > Iluminação,,0.97,Reclass_LSTM,Baixa
2328,Reator explodiu na Acessória de Avaliação (Antiga coordenação do campu,2015-11-24 09:18,Fechado,,,,Reitoria,,,,,Elétrica > Iluminação,,,,0,,,,"-14.788316740297745, -39.27483123836992",,Reator explodiu na Acessória de Avaliação (Antiga coordenação do campus),,,Elétrica > Iluminação,,1,Reclass_LSTM,Baixa
2393,"PROBLEMA NA LINHA TELEFÔNICA, TELEFONE MUDO.",2015-12-01 14:43,Fechado,,,,Campus Jorge Amado,,,,,Outros > Erro de chamado,,,,0,,,,"-14.77147998352185, -39.23434744042999",,"PROBLEMA NA LINHA TELEFÔNICA, TELEFONE MUDO.",,,Outros > Erro de chamado,,0.95,Reclass_LSTM,Baixa
2437,Estamos com o problema em um dos nossos nobreacks que se encontra na s,2015-12-08 10:39,Fechado,,,,Campus Jorge Amado,,,,,Elétrica > Nobreak,,,,0,,,,"-14.77147998352185, -39.23434744042999",,Estamos com o problema em um dos nossos nobreacks que se encontra na sala dos servidores.,,,Elétrica > Iluminação,,0.94,Reclass_LSTM,Baixa
2449,Lâmpada queimada,2015-12-09 12:15,Fechado,,,,Campus Jorge Amado,,,,,Elétrica > Iluminação,,,,0,,,,"-14.788316740297745, -39.27483123836992",,"Um conjunto de lâmpadas, da antessala do reitor, está queimado.",,,Elétrica > Iluminação,,1,Reclass_LSTM,Baixa
2523,Salas com reatores queimados ou luminárias defeituosas:   IHAC - sala,2016-01-06 16:49,Fechado,,,,Campus Jorge Amado,,,,,Elétrica > Iluminação,,,,0,,,,"-14.77147998352185, -39.23434744042999",,"Salas com reatores queimados ou luminárias defeituosas:

IHAC - sala de chegada
Banheiro das salas de aula
Banheiro Masculino da PROPA
Banheiro Feminino da PROPA
Diretora do DGP
Copa da Reitoria
Procuradoria
Ex Coordenação do Campus
Secretaria do Gabinete
Reitor
Sala 3
PROGEAC
CUNI Itabuna - 3

As salas de aula e a sala do Diretor da PROSIS não foram verificadas por que estavam trancadas.",,,Elétrica > Iluminação,,1,Reclass_LSTM,Baixa
2524,Aparelhos de ar-condicionado defeituosos na sala da diretoria e da coo,2016-01-06 16:50,Fechado,,,,Campus Jorge Amado,,,,,Climatização > Ar condicionado split,,,,0,,,,"-14.788316740297745, -39.27483123836992",,Aparelhos de ar-condicionado defeituosos na sala da diretoria e da coordenação,,,Climatização > Ar condicionado,,1,Reclass_LSTM,Baixa
2570,AVISO: Esse tipo de chamado somente poderá ser aberto pelo coordenador,2016-01-15 10:35,Fechado,,,,Campus Jorge Amado,,,,,Elétrica > Iluminação,,,,0,,,,"-14.809436680601632, -39.27904921187019",,"AVISO: Esse tipo de chamado somente poderá ser aberto pelo coordenador do campus. Caso não seja, este chamado será excluído dentro de 7 dias.
03 Lampadas da sala 02 do Cuni Itabuna não ascendem.",,,Elétrica > Iluminação,,0.91,Reclass_LSTM,Baixa
2582,"De ordem do professor José Newton, solicitamos troca do aparelho de ar",2016-01-18 16:09,Fechado,,,,Campus Jorge Amado,,,,,Climatização > Ar condicionado split,,,,0,,,,"-14.788316740297745, -39.27483123836992",,"De ordem do professor José Newton, solicitamos troca do aparelho de ar condicionado (maior)da Assessoria Internacional para um aparelho menor (que pode ser o aparelho da secretaria executiva). Esclarecemos que os aparelhos ""parecem"" desproporcionais para os tamanhos das salas de forma que não cumprem sua função eficazmente. Núbia Lima",,,Climatização > Ar condicionado,,0.99,Reclass_LSTM,Baixa
2583,"De ordem do professor José Newton, solicitamos instalação de uma porta",2016-01-18 16:13,Fechado,,,,Campus Jorge Amado,,,,,"Estrutura Predial > Esquadrias, porta, portão e janelas",,,,0,,,,"-14.788316740297745, -39.27483123836992",,"De ordem do professor José Newton, solicitamos instalação de uma porta que separe sua sala da sala de sua secretária. Núbia Lima",,,"Estrutura Predial > Esquadrias, porta, portão e janelas",,0.99,Reclass_LSTM,Baixa
2660,Remoção e reinstalação de aparelho de ar condicionado na sala 6 do cam,2016-02-02 09:37,Fechado,,,,Campus Jorge Amado,,,,,Climatização > Ar condicionado split,,,,0,,,,"-14.77147998352185, -39.23434744042999",,Remoção e reinstalação de aparelho de ar condicionado na sala 6 do CJA.,,,Climatização > Ar condicionado,,0.97,Reclass_LSTM,Baixa
2692,Quadros de aviso,2016-02-05 08:49,Fechado,,,,Campus Jorge Amado,,,,,Instalação de Acessórios e Mobiliário > Placas de identificação,,,,0,,,,"-14.77147998352185, -39.23434744042999",,"AVISO: Esse tipo de chamado somente poderá ser aberto pelo coordenador do campus. Caso não seja, este chamado será excluído dentro de 7 dias.

Foram adquiridos quadros de aviso para atender as demandas da universidade.
11 para o Campus de Itabuna;
07 para o Campus de Porto Seguro; e
07 para o Campus de Teixeira de Freitas.

Dos 11 de Itabuna, 02 foram destinados para Camila Calhau (PROSSIS) para ser usado na área de saúde.

Solicito que sejam definidos os locais adequados para instalação destes murais e que seja dada a ordem de serviços para a empresa de manutenção predial instalá-los.",,,Estrutura Predial > Alvenaria / Pisos / Estrutura,,0.88,Reclass_LSTM,Baixa
2700,Problema no ar condicionado - mau cheiro,2016-02-05 14:32,Fechado,,,,Campus Paulo Freire,,,,,Outros > Erro de chamado,,,,0,,,,"-17.53335341230621, -39.72217542816204",,"AVISO: Esse tipo de chamado somente poderá ser aberto pelo coordenador do campus. Caso não seja, este chamado será excluído dentro de 7 dias.",,,Climatização > Ar condicionado,,0.98,Reclass_LSTM,Baixa
2836,OS_004_2016_AB ENGENHARIA - SOLICITAÇÃO DE INSTALAÇÃO DE GRUPO GERADOR(LOCAÇÃO) DE 180KVA PARA ATE,2016-02-23 10:18,Fechado,,,,Campus Jorge Amado,,,,,Elétrica > Gerador,,,,0,,,,"-14.77147998352185, -39.23434744042999",,SOLICITAÇÃO DE INSTALAÇÃO DE GRUPO GERADOR(LOCAÇÃO) DE 180KVA PARA ATENDER AO GALPÃO DE AULAS DO CAMPUS JORGE AMADO,,,Manutenção Preventiva > Gerador,,0.91,Reclass_LSTM,Baixa
2840,REPARO EM DUAS LUMINÁRIAS 2X32 NO CORREDOR ACESSO IHAC/PROGEAC/DINFRA,2016-02-23 12:00,Fechado,,,,Campus Jorge Amado,,,,,Elétrica > Iluminação,,,,0,,,,"-14.77147998352185, -39.23434744042999",,REPARO EM DUAS LUMINÁRIAS 2X32 NO CORREDOR ACESSO IHAC/PROGEAC/DINFRA,,,Elétrica > Iluminação,,0.99,Reclass_LSTM,Média
2885,Instalão de ventilador,2016-02-25 14:28,Fechado,,,,Campus Jorge Amado,,,,,Estrutura Predial > Alvenaria / Pisos / Estrutura,,,,0,,,,"-14.639632364563067, -39.5550656837828",,"Instalar o ventilador no cuni de Coaraci que está desde o dia 15 de fervereiro.

Agradeço a atenção.",,,Elétrica > Instalações elétricas,,0.95,Reclass_LSTM,Baixa
2964,Instalação equipamentos Cuni Ibicaraí,2016-03-03 15:51,Fechado,,,,Campus Jorge Amado,,,,,"Instalação de Acessórios e Mobiliário > Instalação/reparo de equipamentos (Suportes de TV, acessórios de banheiro e quadro branco)",,,,0,,,,"-14.870897256276933, -39.594953067425706",,"- Instalação do ventilador ( ventilador já está no cuni desde dezembro/2015)
- Instalação do bebedouro
- Substituição quadro negro
- Instalação de Tomadas",,,Elétrica > Instalações elétricas,,0.96,Reclass_LSTM,Média
3128,AVISO: Esse tipo de chamado somente poderá ser aberto pelo coordenador,2016-03-15 15:30,Fechado,,,,Reitoria,,,,,Elétrica > Instalações elétricas,,,,0,,,,"-14.788316740297745, -39.27483123836992",,"AVISO: Esse tipo de chamado somente poderá ser aberto pelo coordenador do campus. Caso não seja, este chamado será excluído dentro de 7 dias.

/////Instalar ponto de energia/////",,,Elétrica > Instalações elétricas,,0.79,Reclass_LSTM,Baixa
3143,Ar condicionado quebrado,2016-03-16 15:15,Fechado,,,,Reitoria,,,,,Climatização > Ar condicionado split,,,,0,,,,"-14.788316740297745, -39.27483123836992",,"Equipamento da sala 9 não liga.
Equipamento da sala 10 com ruído excessivo na ventilação.",,,Climatização > Ar condicionado,,1,Reclass_LSTM,Média
3233,Ar Condicionado sem gelar,2016-03-28 12:59,Fechado,,,,Campus Jorge Amado,,,,,Climatização > Ar condicionado split,,,,0,,,,"-14.770883343840165, -39.23605772449692",,Informo que o aparelho de ar condicionado da sala dos professores (Mezanino 01 - Pavilhão de aulas) não está gelando. Informei diretamente ao técnico que cuida desta parte e ele me solicitou que abrisse um chamado para a DINFRA.,,,Climatização > Ar condicionado,,1,Reclass_LSTM,Baixa
3271,Ar condicionado sem ligar.,2016-03-30 14:34,Fechado,,,,Campus Jorge Amado,,,,,Climatização > Ar condicionado split,,,,0,,,,"-14.788316740297745, -39.27483123836992",,Ar condicionado sem ligar.,,,Climatização > Ar condicionado,,1,Reclass_LSTM,Baixa
3287,Instalação do suporte do projetor no estudio.,2016-03-31 18:09,Fechado,,,,Campus Jorge Amado,,,,,Estrutura Predial > Alvenaria / Pisos / Estrutura,,,,0,,,,"-14.77147998352185, -39.23434744042999",,,,,Estrutura Predial > Alvenaria / Pisos / Estrutura,,0.72,RF_Fallback_BAIXA_CONF,Baixa
3293,AVISO: Esse tipo de chamado somente poderá ser aberto pelo coordenador,2016-04-01 15:09,Fechado,,,,Reitoria,,,,,Projetos e Reformas > Projeto,,,,0,,,,"-14.788316740297745, -39.27483123836992",,"AVISO: Esse tipo de chamado somente poderá ser aberto pelo coordenador do campus. Caso não seja, este chamado será excluído dentro de 7 dias.
Nós da PROSIS desejamos LAYOUL para adequação de nova funcionária com instalação de ponto elétrico e lógica.",,,Estrutura Predial > Alvenaria / Pisos / Estrutura,,0.78,Reclass_LSTM,Baixa
3328,SOLICITAMOS MANUTENÇÃO NA FECHADURA DA PORTA 04 DO PAVILHÃO DE AULAS D,2016-04-06 09:30,Fechado,,,,Campus Jorge Amado,,,,,"Estrutura Predial > Esquadrias, porta, portão e janelas",,,,0,,,,"-14.77147998352185, -39.23434744042999",,"SOLICITAMOS MANUTENÇÃO NA FECHADURA DA PORTA 04 DO PAVILHÃO DE AULAS DA UFSB.
E OS PROFESSORES SOLICITAÇÃO AS CHAVES DO MEZANINO DO FUNDO.",,,"Estrutura Predial > Esquadrias, porta, portão e janelas",,0.99,Reclass_LSTM,Baixa
3336,AVISO: Esse tipo de chamado somente poderá ser aberto pelo coordenador,2016-04-06 14:26,Fechado,,,,Reitoria,,,,,Climatização > Ar condicionado split,,,,0,,,,"-14.788316740297745, -39.27483123836992",,"AVISO: Esse tipo de chamado somente poderá ser aberto pelo coordenador do campus. Caso não seja, este chamado será excluído dentro de 7 dias.
Conserto do ar condicionado da sala 01. Não gela, compressor não aciona.",,,Climatização > Ar condicionado,,0.96,Reclass_LSTM,Baixa
3344,Instalação de TV.,2016-04-07 08:12,Fechado,,,,Reitoria,,,,,Suprimentos / Apoio Técnico > Materiais,,,,0,,,,"-14.788316740297745, -39.27483123836992",,"AVISO: Esse tipo de chamado somente poderá ser aberto pelo coordenador do campus. Caso não seja, este chamado será excluído dentro de 7 dias.
Retirar da sala da antiga PROTIC e instalar na sala nova PROTIC (SALA 1).",,,Elétrica > Instalações elétricas,,0.82,Reclass_LSTM,Baixa
3349,A COORDENAÇÃO DE CAMPUS ESTÁ RECEBENDO ALGUMAS RECLAMAÇÕES QUANTO AO A,2016-04-07 10:32,Fechado,,,,Campus Jorge Amado,,,,,Estrutura Predial > Alvenaria / Pisos / Estrutura,,,,0,,,,"-14.77147998352185, -39.23434744042999",,"A COORDENAÇÃO DE CAMPUS ESTÁ RECEBENDO ALGUMAS RECLAMAÇÕES QUANTO AO ACESSO DO PAVILHÃO DE AULAS AO ESTÚDIO DA ASSESSORIA DE RELAÇÕES INTERNACIONAIS. Existe um desnível que está causando alguns acidentes. Alunos , professores e técnicos já foram vítimas , em algum momento, tropeçando no desnível da rampa de acesso.
Aguardamos retorno.",,,Estrutura Predial > Alvenaria / Pisos / Estrutura,,0.73,RF_Fallback_BAIXA_CONF,Baixa
3360,AVISO: Esse tipo de chamado somente poderá ser aberto pelo coordenador,2016-04-07 15:24,Fechado,,,,Reitoria,,,,,Estrutura Predial > Alvenaria / Pisos / Estrutura,,,,0,,,,"-14.788316740297745, -39.27483123836992",,"AVISO: Esse tipo de chamado somente poderá ser aberto pelo coordenador do campus. Caso não seja, este chamado será excluído dentro de 7 dias.
Favor instalar provisoriamente um ventilador de parede na da protic, antiga sala de aula 01 predio reitoria.",,,Estrutura Predial > Alvenaria / Pisos / Estrutura,,0.8,Reclass_LSTM,Baixa
3363,Solicito o reparo da iluminação do estacionamento da Reitoria.,2016-04-07 16:01,Fechado,,,,Reitoria,,,,,Elétrica > Iluminação,,,,0,,,,"-14.788316740297745, -39.27483123836992",,Solicito o reparo da iluminação do estacionamento da Reitoria.,,,Elétrica > Iluminação,,0.99,Reclass_LSTM,Média
3364,Solicito o reparo da iluminação do sanitário feminino do Pav. de Aulas,2016-04-07 16:02,Fechado,,,,Campus Jorge Amado,,,,,Elétrica > Iluminação,,,,0,,,,"-14.77147998352185, -39.23434744042999",,Solicito o reparo da iluminação do sanitário feminino do Pav. de Aulas.,,,Elétrica > Iluminação,,0.99,Reclass_LSTM,Média
3368,Ar-condicionado.,2016-04-07 19:35,Fechado,,,,Reitoria,,,,,Climatização > Ar condicionado split,,,,0,,,,"-14.788316740297745, -39.27483123836992",,"AVISO: Esse tipo de chamado somente poderá ser aberto pelo coordenador do campus. Caso não seja, este chamado será excluído dentro de 7 dias.
Solicito a instalação do ar-condicionado na novo sala da PROTIC.
Correção nova sala.",,,Climatização > Ar condicionado,,1,Reclass_LSTM,Baixa
3371,AVISO: Esse tipo de chamado somente poderá ser aberto pelo coordenador,2016-04-08 08:49,Fechado,,,,Reitoria,,,,,Elétrica > Instalações elétricas,,,,0,,,,"-14.788316740297745, -39.27483123836992",,Solicito instalação de uma tomada de 20 AMP para o microondas localizado na sala da Pró-Reitoria da PROTIC.,,,Elétrica > Instalações elétricas,,0.88,Reclass_LSTM,Baixa
3375,Nova Sala da ACS / Reitoria,2016-04-08 11:24,Fechado,,,,Reitoria,,,,,Elétrica > Instalações elétricas,,,,0,,,,"-14.788316740297745, -39.27483123836992",,"AVISO: Esse tipo de chamado somente poderá ser aberto pelo coordenador do campus. Caso não seja, este chamado será excluído dentro de 7 dias.

Ola rapaziada da DINFRA, Como assumimos a uma nova sala da ACS Nomeada CRIAÇÃO.
Venho por meio desse Chamado pedir, a Instalação de dois pontos de eletricidade, mais conhecida como TOMADAS.

A sala esta localizada ao lado da porta de entrada da reitoria!

Pedido com uma certa urgência sendo que 3 integrantes da ACS ocuparam a Sala.",,,Elétrica > Instalações elétricas,,0.86,Reclass_LSTM,Baixa
3383,Tombo do CPU: 947879 - Bebedouro- água imprópria para o consumo.Com ch,2016-04-08 16:19,Fechado,,,,Campus Jorge Amado,,,,,Hidrossanitária > Hidráulica,,,,0,,,,"-14.639632364563067, -39.5550656837828",,Tombo do CPU: 947879 - Bebedouro- água imprópria para o consumo.Com cheiro e gosto.,,,Hidrossanitária > Hidráulica,,0.99,Reclass_LSTM,Baixa
3393,Readequação dos pontos de elétrica e lógica da DIRPLAN e DIRAD.,2016-04-11 10:01,Fechado,,,,Reitoria,,,,,Elétrica > Instalações elétricas,,,,0,,,,"-14.788316740297745, -39.27483123836992",,Readequação dos pontos de elétrica e lógica da DIRPLAN e DIRAD.,,,Elétrica > Instalações elétricas,,0.95,Reclass_LSTM,Baixa
3394,Luminária defeituosa na sala de Jorge da PROTIC,2016-04-11 10:03,Fechado,,,,Reitoria,,,,,Elétrica > Iluminação,,,,0,,,,"-14.788316740297745, -39.27483123836992",,Luminária defeituosa na sala de Jorge da PROTIC,,,Elétrica > Iluminação,,1,Reclass_LSTM,Baixa
